"element_id","sentence_id","negative","neutral","positive","sentence"
"x1241","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1242","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1243","x1",NA,"weather update from chepauk thanda csk called the shots tonight despite a typically garam andre russell inning",NA,"Weather update from Chepauk Thanda 

CSK called the shots tonight despite a typically Garam Andre Russell inning"
"x1244","x1",NA,"weather update from chepauk thanda csk called the shots tonight despite a typically garam andre russell inning",NA,"Weather update from Chepauk Thanda 

CSK called the shots tonight despite a typically Garam Andre Russell inning"
"x1245","x1",NA,"csk is at the the of of table again in in ipl by out their their matchesneed just ne","top winning wins","CSK is at the top of the table again in IPL by winning out of their matchesneed just wins in their ne"
"x1246","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1247","x1",NA,"weather update from chepauk thanda csk called the shots tonight despite a typically garam andre russell inn",NA,"Weather update from Chepauk Thanda 

CSK called the shots tonight despite a typically Garam Andre Russell inn"
"x1248","x1",NA,"yellove csk whistlepodu","victory","Victory Yellove CSK WhistlePodu"
"x1249","x1",NA,"for csk though the match had its moments on a pitch if this nature batsmen getting knocks russ","easy win substantial","Easy win for CSK though the match had its moments On a pitch if this nature batsmen getting substantial knocks Russ"
"x1250","x1",NA,"again and how to the lions for yet another hil csk yellove togetherwewin htt","win congratulations victory","win again and how Congratulations to the Lions for yet another victory 
HIL CSK Yellove TogetherWeWin htt"
"x1251","x1","struggled","rajasthan royals and scored but kkr the game in just th th over over csk had to to go against","won win","Rajasthan Royals struggled and scored but KKR won the game in just th over CSK had to go th over to win against"
"x1252","x1",NA,"anything else cskvkkr ipl csk msd","sir","Anything else sir 

CSKvKKR ipl CSK msd"
"x1253","x1",NA,"csk overs overs one boundary from that over remain cskvkkr vivoipl kkrhaitaiyaar",NA,"CSK Overs
 

One boundary from that over overs remain

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x1254","x1",NA,"csk overs we have runs left to cskvkkr vivoipl kkrhaitaiyaar","defend","CSK Overs
 

We have runs left to defend 

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x1255","x1",NA,"csk overs narine completes his rd over he has bowled cskvkkr vivoipl kkrhaitai","exceptionally well","CSK Overs
 

Narine completes his rd over he has bowled exceptionally well

CSKvKKR VIVOIPL KKRHaiTai"
"x1256","x1",NA,"csk overs we have runs more to cskvkkr vivoipl kkrhaitaiyaar","defend","CSK Overs
 

We have runs more to defend

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x1257","x1",NA,"csk overs kuldeep finishes his spell as the timeout has been taken cskvkkr vivoipl kkrhaitaiyaar",NA,"CSK Overs
 

Kuldeep finishes his spell as the timeout has been taken

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x1258","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1259","x1","lost","ko bhi kkr will d match always csk whistlepodu","win","ko bhi KKR will lost d match Always win CSK WhistlePodu"
"x1260","x1",NA,"match csk csk vs kkr kkr highlights report ipl dhoni tahir whistlepodu yellowlove cskvkkr",NA,"Match CSK vs KKR Highlights Report 
IPL CSK KKR Dhoni Tahir Whistlepodu Yellowlove CSKvKKR"
"x1261","x1",NA,"csk overs pc has taken a wicket and catches today cskvkkr vivoipl kkrhaitaiyaar",NA,"CSK Overs
 

PC has taken a wicket and catches today

CSKvKKR VIVOIPL KKRHaiTaiyaar"
"x1262","x1","lost","csk it today back not zpl","cash received","csk lost it today cash back not received zpl"
"x1263","x1",NA,"csk becomes the the st team to get double digit points points in in ipl also their no spot table","reclaim","CSK becomes the st Team to get double digit points in IPL

Also reclaim their No spot in the Points Table"
"x1264","x1",NA,"csk becomes the the st team to get double digit points points in in ipl also their no spot table","reclaim","CSK becomes the st Team to get double digit points in IPL

Also reclaim their No spot in the Points Table"
"x1265","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1266","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1267","x1","boring repulsive wtf","cskvkkr match match match was was the most and ipl cricket ive ever seen i slept while on",NA,"CSKvKKR match was the most boring and repulsive ipl cricket match Ive ever seen I slept while match was on wtf"
"x1268","x1",NA,"chennai is always a different cskvkkr csk msd","level","Chennai is always a different level CSKvKKR CSK msd"
"x1269","x1","lost lost","last games at chepauk","won won won won won won won won won won won won won won won won","last games at Chepauk

Won
Won
Won 
Won
Won
Won
Won
Won
Won
Won
Lost
Won
Won
Won
Won
Won

Won 
Lost"
"x1270","x1",NA,"for csk though the match had its moments on a pitch if this nature batsmen getting knocks russ","easy win substantial","Easy win for CSK though the match had its moments On a pitch if this nature batsmen getting substantial knocks Russ"
"x1271","x1",NA,"this one cskvkkr csk dhoni",NA,"This one 

CSKvKKR CSK dhoni"
"x1272","x1",NA,"not out for csk captain msd",NA,"Not out for Csk captain MSD"
"x1273","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1274","x1",NA,"everyone believed believed in in russell we whistle cskvkkr whistlepodu ipl dhoni csk",NA,"Everyone believed in Russell we believed in whistle CSKvKKR WhistlePodu IPL Dhoni CSK"
"x1275","x1",NA,"table toppers csk cskvskkr cskvkkr",NA,"Table Toppers CSK 

CSKvsKKR CSKvKKR"
"x1276","x1",NA,"ever greatful to to for bringing csk he is our but thala made this b","blessing","Ever greatful to for bringing to CSK 
He is our blessing

But Thala made this b"
"x1277","x1",NA,"csk will make their home dontgetfried getbaked ipl tooyumm","win","CSK will make their home win DontGetFried GetBaked IPL TooYumm"
"x1278","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1279","x1","minority","why do these people always see bowling as a among departments of cricket if ba",NA,"Why do these people always see bowling as a minority among departments of Cricket If ba"
"x1280","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1281","x1",NA,"people i are poles apart in in our csk msd smtimes cricket g","support","People I are poles apart in our support CSK MSD smtimes cricket in g"
"x1282","x1","lied lost","to rs zomato csk matchu nu ena oru puthisali thanam cskvkkr","save","To save rs zomato lied csk lost matchu nu Ena oru puthisali thanam CSKvKKR"
"x1283","x1",NA,"head head to to in ipl csk kkr lets make it today cskvkkr",NA,"Head to Head In IPL 

CSK 

KKR 

Lets Make it to Today

 CSKvKKR"
"x1284","x1",NA,"both kohli kohli and dhoni are captains they wont give up the the positions to other teams but re","consistent top","Both Kohli and Dhoni are consistent captains They wont give up the top positions to the other teams But Kohli re"
"x1285","x1",NA,"russell entry this is how chennai csk","fans welcome","Russell Entry This is how CHENNAI Fans Welcome CSK"
"x1286","x1",NA,"once again the the the chepauk pitchcurator plays a innings in in this test match nevertheless chennai crowd","vital","Once again the chepauk pitchcurator plays a vital innings in this TEST match Nevertheless the chennai crowd in the"
